"pippa","USAF","STATION.NAME","ICAO","ELEV.M.","LAT","LON","optional"
"1",161910,"ancona","LIPY",14.9,43.616,13.362,TRUE
"2",162700,"bari","LIBD",53.9,41.133,16.767,TRUE
"3",161400,"bologna","LIPE",37.5,44.535,11.289,TRUE
"3",160200,"bolzano","LIPB",240.5,46.46,11.326,TRUE
"4",165600,"cagliari","LIEE",4,39.251,9.054,TRUE
"5",162520,"campobasso","LIBS",807,41.567,14.65,TRUE
"6",164600,"catania","LICC",11.9,37.467,15.066,TRUE
"7",163500,"crotone","LIBC",158.8,38.997,17.08,TRUE
"8",161700,"firenze","LIRQ",43.9,43.81,11.205,TRUE
"9",161200,"genova","LIMJ",4,44.412,8.842,TRUE
"10",163320,"lecce","LIBN",47.5,40.239,18.133,TRUE
"11",160800,"milano","LIML",107.6,45.445,9.277,TRUE
"12",162890,"napoli","LIRN",72,40.85,14.3,TRUE
"13",164050,"palermo","LICJ",19.8,38.176,13.091,TRUE
"14",161810,"perugia","LIRZ",211.2,43.096,12.513,TRUE
"15",162300,"pescara","LIBP",14.6,42.432,14.181,TRUE
"16",164220,"reggio calabria","LICR",29.3,38.071,15.652,TRUE
"17",162390,"roma","LIRA",130.1,41.799,12.595,TRUE
"18",160590,"torino","LIMF",301.4,45.201,7.65,TRUE
"19",161100,"trieste","LIVT",20,45.65,13.75,TRUE
"20",161050,"venezia","LIPZ",2.1,45.505,12.352,TRUE

